ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.L.1.Hit	AOI.L.2.Hit	AOI.L.3...leak.Hit	AOI.L.4.Hit	AOI.R.1...leak.Hit	AOI.R.2.Hit	AOI.R.3.Hit	AOI.R.4.Hit	AOI.S.1.Hit	AOI.S.2...sen_leak.Hit	AOI.S.3.Hit	AOI.S.4.Hit	AOI.leak.Hit
Ichen	sex0	NA	54	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichen	sex0	NA	54	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichen	sex0	33	NA	Fixation	133	854	447	8.94	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ichen	sex0	33	NA	Fixation	133	854	447	8.94	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ichen	sex0	33	NA	Fixation	133	854	447	8.94	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ichen	sex0	33	NA	Fixation	133	854	447	8.94	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ichen	sex0	33	NA	Fixation	133	854	447	8.94	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ichen	sex0	33	NA	Fixation	133	854	447	8.94	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ichen	sex0	33	NA	Fixation	133	854	447	8.94	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ichen	sex0	33	NA	Fixation	133	854	447	8.94	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ichen	sex0	NA	55	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichen	sex0	NA	55	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichen	sex0	NA	55	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichen	sex0	NA	55	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichen	sex0	34	NA	Fixation	117	648	461	13.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichen	sex0	34	NA	Fixation	117	648	461	13.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichen	sex0	34	NA	Fixation	117	648	461	13.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
